text,quoted_text
b'Hoje meu happy place t\xc3\xa1 muito espec\xc3\xadfico\nQueria estar em uma hidromassagem comendo cinco sandu\xc3\xadches do burguer king\xe2\x80\xa6 https://t.co/Q7s1xnQYbl',
b'Amiga beije este homem ele \xc3\xa9 comunista e safado',
b'Carlos: o meu problema \xc3\xa9 pau grande e cora\xc3\xa7\xc3\xa3o pequeno',
"b'N\xc3\xa3o \xc3\xa9 s\xc3\xb3 a direita, tem uma grande parte da esquerda que gosta de distorcer as coisas pro pr\xc3\xb3prio benef\xc3\xadcio. E ainda quer pagar de sabich\xc3\xa3o'",
"b'Cala sua boca, vc \xc3\xa9 f\xc3\xa3 do odelmo'",
"b'Tanta solicita\xc3\xa7\xc3\xa3o de amizade, An\xc3\xa9m'",
b'Tava lembrando de uma vez que eu chamei meu prof de hist\xc3\xb3ria do ensino m\xc3\xa9dio pra conversar sobre o quanto viol\xc3\xaancia\xe2\x80\xa6 https://t.co/6Kprp02XYC',
"b'Quase meia noite e ainda t\xc3\xa1 30 graus, vsf'",
b'N\xc3\xa3o tenho autoestima pra isso',
"b'No calor eu sou pouco produtiva, mas no final do dia fico cansada como se tivesse carregado o peso do mundo'",
b'Tem uma mina que me manda mensagem uma vez por m\xc3\xaas \n\nEm julho foi Oi\nAgosto: Tudo bem?\nSetembro: Voc\xc3\xaa d\xc3\xa1 aulas\nHoje: qual o valor?',
b'Eu acho flocos superestimado',
b'O que eu fiz de errado pra ter bolsominion dando em cima de mim?',
"b'Sim, vadia. Semana mais quente do ano e a vestimenta das aulas de moto(que s\xc3\xa3o obviamente no sol) \xc3\xa9 blusa de manga\xe2\x80\xa6 https://t.co/wHlmolZ5at'",
b'An\xc3\xa9m esse tipo de gente me d\xc3\xa1 vontade de chorar https://t.co/ubMyKvI82d',b'https://t.co/SRpd1y3Hbz'
b'Minha meta a\xc3\xad https://t.co/sBeP9WuLBx',b'T\xc3\x81 MALUCO MINHA MINA E MT LINDA INTELIGENTE GOSTOSA DELICIOSA SUCULENTA LEGAL DIVERTIDA COZINHA BEM CANTA BEM FAZ F\xe2\x80\xa6 https://t.co/jfWS9AJXku'
b'Acho que t\xc3\xb4 me preocupando com uns trem que n\xc3\xa3o fazem sentido. Vou dormir',
b'\xc3\x89 isso. https://t.co/uv7HIpFeI8',"b'eu sou a mulher que vai passar fome e sede cntg se preciso for, q vai te apoiar em tudo mas n\xc3\xa3o mente p mim n\xc3\xa3o pprt perde tudo cmg'"
b'Meus sentimentos est\xc3\xa3o confusos e isso me deixa inquieta',
b'Caf\xc3\xa9 ou ch\xc3\xa1? \n\n\xe2\x80\x94 Caf\xc3\xa9 daqueles de v\xc3\xb3 pingando a\xc3\xa7\xc3\xbacar de t\xc3\xa3o doce https://t.co/DpZyWvJBPG',
"b'Tem vontade de namorar? \n\n\xe2\x80\x94 Se for pra passar raiva, n\xc3\xa3o. Meu conceito de namoro \xc3\xa9 leve demais pra essa galera que\xe2\x80\xa6 https://t.co/IKSBJIcfFW'",
"b'Meu gosto musical \xc3\xa9 do caralho \nTem playlist pra transar, chorar, arrumar casa, tomar banho, fazer bolo, dormir fof\xe2\x80\xa6 https://t.co/dI6XB2dMAS'",
b'Hoje eu t\xc3\xb4 enjoada',
b'Voc\xc3\xaa n\xc3\xa3o tem moral pra discutir comigo. Voc\xc3\xaa gosta de cereja caramelizada.',
b'Gente eu t\xc3\xb4 at\xc3\xa9 ficando boa nesse trem de andar de moto',
b'Eu: posto texto triste\nVcs: reagem com amei e haha\nEu: posto texto feliz \nVoc\xc3\xaas: reagem com triste',
b'Agora sempre que me perguntarem se eu t\xc3\xb4 solteira vou falar que n\xc3\xa3o. Evita muita enche\xc3\xa7\xc3\xa3o de saco de macho',
b'Imagina ter um filho e ter que explicar dever de casa de matem\xc3\xa1tica e biologia? \n\nEu sinceramente prefiro morrer',
b'T\xc3\xb4 querendo reassistir Her',
b'iti malia',
